School Code,DfE Number,National Centre Number,DENINO,School Type,School name,Average point score 2014,Z Score 2014,Average point score 2015,Z Score 2015,Average Point score 2016,Z Score 2016,Average Z Score 2014-2016,Above or Below Average,Notes
14336,1230155,71107,1230155,,St Genevieve's High School                      ,582.894958,-0.53116021,625.26,-0.231463934,641.95,-0.138626616,-0.30041692,Below Average,
16523,4230165,71581,4230165,,"St Patrick's Academy, Lisburn                    ",551.5714286,-0.69126794,488.79,-0.980208472,495.43,-1.025836957,-0.899104456,Below Average,Not in UCAS school list
16563,4250024,71561,4250024,,Priory College                                  ,361.2,-1.664336363,384.92,-1.55009266,479.58,-1.121812141,-1.445413721,Below Average,
18960,1230182,71127,1230182,,De La Salle College                             ,719.9117647,0.169190305,708.5,0.225233475,559.73,-0.636486527,-0.080687582,Below Average,"La Salle Boys' School, Belfast in UCAS"
19034,2230148,71916,2230148,,St John's Business and Enterprise College,473.75,-1.089045985,406.5,-1.431693692,531,-0.810452901,-1.110397526,Below Average,
19122,2230109,71943,2230109,,St Mary's College,557.7,-0.659942234,365,-1.659384014,518.75,-0.884629305,-1.067985185,Below Average,
19436,5420314,71669  ,5420314,,St Ronan’s College,No Data,No Data,No Data,No Data,575.76,-0.539421405,-0.539421405,Below Average,
19443,3420317,71337  ,3420317,,Coleraine Grammar School,809.6,0.62762459,701.9,0.189022484,671.45,0.040002275,0.285549783,Above Average,
19444,4210316,71524 ,4210316,,Breda Academy,553.6046512,-0.680875284,507.42,-0.877994719,552.38,-0.68099237,-0.746620791,Below Average,
19526,3210313,71439  ,3210313,,Abbey Community College,No Data,No Data,No Data,No Data,563.18,-0.61559603,-0.61559603,Below Average,
19738,2420042,71931,2420042,,Portora Royal School                            ,702.2075472,0.078696605,710.44,0.235877312,733.62,0.416455093,0.243676336,Above Average,Closed in 2016
19739,2410040,71922,2410040,,"Enniskillen Royal Grammar School, Cooper Crescent",617.8636364,-0.35242059,685.86,0.101018802,689.42,0.148814518,-0.034195757,Below Average,
10150,2230225,71833,2230225,,St Brigid's College                             ,527.3076923,-0.815290099,690,0.12373297,735.54,0.428081109,-0.08782534,Below Average,
10731,3210232,71421,3210232,,Downshire School                                ,598.3235294,-0.452298293,610.77,-0.310963519,555.52,-0.661978989,-0.475080267,Below Average,
10961,5230152,71625,5230152,,St Ciaran's High School                         ,706.08,0.09849034,528.29,-0.763491177,590.78,-0.448472051,-0.371157629,Below Average,
14005,3230227,71303,3230227,,Cross and Passion College                       ,615.56,-0.364195444,620.4,-0.258128391,617.94,-0.284012367,-0.302112067,Below Average,
14006,3210124,71301,3210124,,Ballycastle High School                         ,586.6071429,-0.512185672,544.71,-0.67340262,574.56,-0.546687665,-0.577425319,Below Average,
14008,3410008,71415,3410008,,Ballyclare High School                          ,925.1007194,1.217997335,917.91,1.374164329,874.34,1.268545178,1.286902281,Above Average,
14012,3420010,71321,3420010,,St Louis Grammar School                         ,693.3030303,0.033181875,698.57,0.170752393,722.46,0.348878875,0.184271048,Above Average,
14014,3420012,71329,3420012,,Dalriada School                                 ,760.8247863,0.378313963,738.62,0.39048727,726.19,0.371464833,0.380088689,Above Average,
14016,3410098,71417,3410098,,Carrickfergus Grammar School                    ,848.8217822,0.828103611,864.24,1.079703133,778.89,0.69057475,0.866127165,Above Average,
14017,3420046,71431,3420046,,Larne Grammar School                            ,1009.78022,1.650829869,774.82,0.58909907,744.58,0.482820267,0.907583069,Above Average,
14021,4420050,71571,4420050,,Friends' School                                 ,965.0757576,1.422326565,940.45,1.49783035,913.78,1.507362922,1.475839945,Above Average,
14023,4420051,71583,4420051,,Wallace High School                             ,952.6688742,1.358909766,850.04,1.001794638,860.52,1.184862084,1.181855496,Above Average,
14024,3420077,71441,3420077,,Belfast High School                             ,776.7787611,0.459861436,723.32,0.306543609,759.73,0.574556799,0.446987282,Above Average,
14031,5230218,71615,5230218,,St Catherine's College                          ,735.8035714,0.250420012,718.56,0.280427804,712.96,0.291354317,0.274067378,Above Average,
14032,5420263,71605,5420263,,The Royal School Armagh                         ,882.1263158,0.998337087,709.86,0.232695134,747.92,0.503044691,0.578025637,Above Average,
14034,5410057,71661,5410057,,Lurgan College                                  ,1100.445,2.114255685,844.5,0.971399351,811.58,0.888519782,1.324724939,Above Average,
14036,5420056,71669,5420056,,St Michael's Grammar                            ,658.4791667,-0.144817536,644.89,-0.123763668,No Data,No Data,-0.134290602,Below Average,
14039,5410067,71679,5410067,,Portadown College                               ,742.66875,0.285510826,720.23,0.289590282,704.84,0.242185958,0.272429022,Above Average,
14041,1410270,71201,1410270,,Wellington College                              ,1006.414773,1.633627654,986.18,1.748728626,806.7,0.858970325,1.413775535,Above Average,
14047,1410315,71213,1410315,,Bloomfield Collegiate                           ,923.0178571,1.20735095,856.99,1.039925908,811.67,0.889064751,1.045447203,Above Average,
