DENI Ref,School Name,Points,Year 14 pupils with 1 or more examinaiton entry,Average point score per pupil
1210014,Ashfield Girls' High School,34752,49,709.2244898
1210015,Ashfield Boys' High School,33838,57,593.6491228
1210021,Belfast Model School For Girls,39714,73,544.0273973
1210022,Belfast Boys' Model School,40048,61,656.5245902
1230026,St Patrick's College,19834,49,404.7755102
1230053,St Louise's Comprehensive College,112795,185,609.7027027
1230089,Little Flower Girls' School,37790,56,674.8214286
1230104,Mercy College Belfast,22612,41,551.5121951
1230130,St Rose’s Dominican College,19993,36,555.3611111
1230146,Christian Brothers School,21427,52,412.0576923
1230155,St Genevieve's High School,64068,101,634.3366337
1230182,De La Salle College,44655,80,558.1875
1230262,Corpus Christi College,7120,19,374.7368421
1230275,St Joseph's College,28390,47,604.0425532
1240291,Colaiste Feirste,44650,66,676.5151515
1260269,Hazelwood College,37051,65,570.0153846
1260294,Malone Integrated College,18056,47,384.1702128
1410079,Grosvenor Grammar School,98533,133,740.8496241
1410270,Wellington College,67661,86,786.755814
1410315,Bloomfield Collegiate,62730,75,836.4
1420020,Campbell College,87442,117,747.3675214
1420021,St Mary's Christian Brothers' Grammar School,80659,126,640.1507937
1420022,Methodist College,214785,245,876.6734694
1420027,The Royal Belfast Academical Institution,107325,129,831.9767442
1420028,Belfast Royal Academy,124187,180,689.9277778
1420029,St Dominic's High School,99990,146,684.8630137
1420030,St Malachy's College,94050,117,803.8461538
1420082,Dominican College,93977,117,803.2222222
1420089,Strathearn School,92850,104,892.7884615
1420095,Rathmore Grammar School,128295,165,777.5454545
1420264,Victoria College,74685,83,899.8192771
1420265,Hunterhouse College,55167,81,681.0740741
1420277,Aquinas Diocesan Grammar School,88290,98,900.9183673
2210065,Castlederg High School,29602,45,657.8222222
2210125,Omagh High School,29672,41,723.7073171
2210302,Limavady High School,27765,44,631.0227273
2210306,Lisneal College,34110,59,578.1355932
2210312,Devenish College,30248,48,630.1666667
2230077,St Mary's Limavady,35970,56,642.3214286
2230081,St Mary's College,64290,93,691.2903226
2230099,St Fanchea's College,11494,19,604.9473684
2230100,St Joseph's College,5614,11,510.3636364
2230131,St Joseph's Boys' School,36176,63,574.2222222
2230138,Dean Maguirc College,29447,43,684.8139535
2230144,St Patrick's College,12129,16,758.0625
2230148,St John's Business and Enterprise College,750,4,187.5
2230166,St Aidan's High School,*,*,*
2230180,St Eugene's College,4035,6,672.5
2230188,St Cecilia's College,47913,80,598.9125
2230190,St Comhghall's College,35140,52,675.7692308
2230225,St Brigid's College,17979,33,544.8181818
2230298,Sacred Heart College,36846,73,504.739726
2230301,Holy Cross College,114744,124,925.3548387
2260276,Oakgrove Integrated College,32867,47,699.2978723
2260280,Erne Integrated College,13867,30,462.2333333
2260283,Drumragh Integrated College,32685,56,583.6607143
2410048,Limavady Grammar School,68664,98,700.6530612
2410066,Omagh Academy,66915,76,880.4605263
2410311,Strabane Academy,29196,46,634.6956522
