EUCLID DfE Number,EUCLID School Code,match on school code,school code same in both sheets,EUCLID National Centre Number,School Name,School type,Average wider points score for pupils aged 17 2014,Z score 2014,Average wider points score for pupils aged 17 2015,Z score 2015,Average wider points score for pupils aged 17 2016,Z Score 2016,Average Z score 2014-2016,Above or Below Average,Notes,Change check 2014-15,Change check 2015-16,Upload check,Upload double check
6604025,10001,10001,TRUE,68401,Ysgol Syr Thomas Jones,Comprehensive School,951.6,0.8,803.1,-0.13,880.29,0.28,0.31,Above Average,,OK,OK,Above Average,TRUE
6604026,10003,10003,TRUE,68447,Ysgol Uwchradd Caergybi,Comprehensive School,739.3,-0.58,665,-1.06,701.39,-1.02,-0.88,Below Average,,OK,OK,Below Average,TRUE
6604027,10006,10006,TRUE,68463,Ysgol Gyfun Llangefni,Comprehensive School,950.3,0.79,956.2,0.89,829.04,-0.09,0.53,Above Average,,OK,OK,Above Average,TRUE
6604028,10002,10002,TRUE,68474,Ysgol David Hughes,Comprehensive School,921.2,0.6,873,0.33,967.38,0.91,0.61,Above Average,,OK,OK,Above Average,TRUE
6604029,15959,15959,TRUE,68424,Ysgol Uwchradd Bodedern,Comprehensive School,945.7,0.76,964.6,0.95,881.16,0.28,0.66,Above Average,,OK,OK,Above Average,TRUE
6614002,10153,10153,TRUE,68418,Ysgol Dyffryn Ogwen,Comprehensive School,937.7,0.71,986.1,1.09,891,0.35,0.72,Above Average,,OK,OK,Above Average,TRUE
6614004,10161,10161,TRUE,68467,Ysgol Brynrefail,Comprehensive School,997.1,1.1,1044.8,1.48,981.93,1.01,1.2,Above Average,,OK,OK,Above Average,TRUE
6614007,10162,10162,TRUE,68478,Ysgol Dyffryn Nantlle,Comprehensive School,1057.7,1.49,1008.9,1.24,1041.82,1.44,1.39,Above Average,,OK,OK,Above Average,TRUE
6614033,12184,12184,TRUE,68404,Ysgol Y Berwyn,Comprehensive School,1124.8,1.93,1162.7,2.27,969.41,0.92,1.71,Above Average,,OK,Big Change,Above Average,TRUE
6614036,15223,15223,TRUE,68407,Ysgol Friars,Comprehensive School,821.1,-0.05,764.2,-0.4,773.42,-0.5,-0.31,Below Average,,OK,OK,Below Average,TRUE
6614037,15936,15936,TRUE,68410,Ysgol Tryfan,Comprehensive School,855,0.17,963.8,0.94,1021.94,1.3,0.81,Above Average,,OK,OK,Above Average,TRUE
6614039,10156,10156,TRUE,68431,Ysgol Syr Hugh Owen,Comprehensive School,861.5,0.22,862.5,0.26,811.04,-0.22,0.09,Above Average,,OK,OK,Above Average,TRUE
6616008,10155,10155,TRUE,68409,St Gerards School Trust,Independent School,839.8,0.08,735,-0.59,771.68,-0.51,-0.34,Below Average,"No data for 2016, website says is studies A Levels",OK,OK,Below Average,TRUE
6624022,10158,10158,TRUE,68452,Ysgol John Bright,Comprehensive School,999.4,1.11,971.9,1,1000.73,1.15,1.09,Above Average,,OK,OK,Above Average,TRUE
6624023,14757,14757,TRUE,68434,Ysgol Aberconwy,Comprehensive School,750.1,-0.51,723.1,-0.67,752.61,-0.65,-0.61,Below Average,,OK,OK,Below Average,TRUE
6624035,10371,10371,TRUE,68470,Ysgol Dyffryn Conwy,Comprehensive School,653.8,-1.13,849.1,0.17,895.39,0.39,-0.19,Below Average,,Big Change,OK,Below Average,TRUE
6624038,11218,11218,TRUE,68450,Ysgol Y Creuddyn,Comprehensive School,1002.3,1.13,981.7,1.06,971.09,0.93,1.04,Above Average,,OK,OK,Above Average,TRUE
