LA Code,Estab Code,Estab Name,Average wider points score for pupils aged 17,,,,,,,
660,4025,Ysgol Syr Thomas Jones,689.0,,,,,,,
660,4026,Ysgol Uwchradd Caergybi,591.4,,,,,,,
660,4027,Ysgol Gyfun Llangefni,582.5,,,,,,,
660,4028,Ysgol David Hughes,791.3,,,,,,,
660,4029,Ysgol Uwchradd Bodedern,829.6,,,,,,,
660,7011,Canolfan Addysg Y Bont,13.3,,,,,,,
661,4002,Ysgol Dyffryn Ogwen Bethesda,921.3,,,,,,,
661,4004,Ysgol Brynrefail,880.7,,,,,,,
661,4007,Ysgol Dyffryn Nantlle,790.2,,,,,,,
661,4033,Ysgol Y Berwyn,784.8,,,,,,,
661,4036,Ysgol Friars,862.7,,,,,,,
661,4037,Ysgol Tryfan,885.1,,,,,,,
661,4039,Ysgol Syr Hugh Owen,770.9,,,,,,,
661,7002,Ysgol Pendalar,*,,,,,,,
661,7010,Ysgol Hafod Lon,0.0,,,,,,,
662,4022,Ysgol John Bright,848.7,,,,,,,
662,4023,Ysgol Aberconwy,660.1,,,,,,,
662,4035,Ysgol Dyffryn Conwy,701.4,,,,,,,
662,4038,Ysgol Y Creuddyn,885.4,,,,,,,
662,5400,Ysgol Emrys Ap Iwan,633.5,,,,,,,
662,5402,Eirias High School,853.2,,,,,,,
662,5403,Ysgol Bryn Elian,879.6,,,,,,,
662,7007,Ysgol Y Gogarth,22.9,,,,,,,
663,4014,Prestatyn High School,605.2,,,,,,,
663,4020,Ysgol Uwchradd Glan Clwyd,698.8,,,,,,,
663,4026,Denbigh High School,718.3,,,,,,,
663,4027,Ysgol Dinas Bran,642.9,,,,,,,
663,4031,Ysgol Brynhyfryd,836.6,,,,,,,
663,5901,St Brigid's School,755.0,,,,,,,
663,7000,Ysgol Tir Morfa,6.7,,,,,,,
663,7010,Ysgol Plas Brondyffryn,33.5,,,,,,,
664,4000,Hawarden High School,688.6,,,,,,,
664,4006,Alun School,679.5,,,,,,,
664,4017,Castell Alun High School,803.7,,,,,,,
664,4018,Maes Garmon,732.4,,,,,,,
664,4021,Flint High School,619.9,,,,,,,
664,4600,St. Richard Gwyn Catholic High School,775.6,,,,,,,
664,7021,Ysgol Maes Hyfryd,5.0,,,,,,,
665,4032,Ysgol Morgan Llwyd,653.3,,,,,,,
665,4044,Ysgol Rhiwabon,820.5,,,,,,,
665,5401,The Maelor School,820.5,,,,,,,
665,7005,St Christophers School,90.7,,,,,,,
666,4000,Ysgol Uwchradd Caereinion High School,806.1,,,,,,,
666,4001,Llanfyllin High School,669.4,,,,,,,
666,4002,Llanidloes High School,827.1,,,,,,,
666,4011,Newtown High School,845.7,,,,,,,
666,4013,Welshpool High School,699.0,,,,,,,
666,4019,Llandrindod High School,783.2,,,,,,,
666,4020,Builth Wells High School,784.2,,,,,,,
666,4021,Ysgol Maesydderwen,788.7,,,,,,,
666,4022,Brecon High School,714.3,,,,,,,
666,4023,Gwernyfed High School,851.9,,,,,,,
666,4024,Crickhowell High School,872.1,,,,,,,
666,5500,Ysgol Bro Hyddgen,809.2,,,,,,,
666,7001,Ysgol Neuadd Brynllywarch Hall School,28.2,,,,,,,
666,7002,Ysgol Cedewain,38.2,,,,,,,
666,7004,Ysgol Penmaes,5.7,,,,,,,
667,4042,Gyfun Aberaeron Comprehensive,674.2,,,,,,,
667,4044,Ysgol Uwchradd Aberteifi,849.8,,,,,,,
667,4047,Penglais School,840.3,,,,,,,
667,4048,Ysgol Gyfun Penweddig,784.1,,,,,,,
667,5500,Ysgol Bro Pedr,822.2,,,,,,,
667,5502,Ysgol Bro Teifi,780.3,,,,,,,
668,4031,Ysgol Bro Gwaun,869.1,,,,,,,
668,4034,Ysgol Dewi Sant,897.7,,,,,,,
668,4035,Ysgol Greenhill School,750.4,,,,,,,
668,4038,Pembroke School,766.6,,,,,,,
668,4055,Sir Thomas Picton School,758.2,,,,,,,
668,4063,Milford Haven School,779.5,,,,,,,
668,4064,Ysgol y Preseli,895.1,,,,,,,
668,4511,Tasker-Milward V.C. School,722.7,,,,,,,
668,7001,Portfield School,12.0,,,,,,,
669,4029,Ysgol Dyffryn Aman,673.4,,,,,,,
669,4052,Ysgol Gyfun Y Strade,755.9,,,,,,,
669,4056,Ysgol Gyfun Gymraeg Bro Myrddin,842.7,,,,,,,
669,4060,Ysgol Gyfun Emlyn,859.3,,,,,,,
669,4063,Queen Elizabeth High School,682.7,,,,,,,
669,4064,Ysgol Maes y Gwendraeth,768.6,,,,,,,
669,4065,Ysgol Bro Dinefwr,616.9,,,,,,,
669,4512,Dyffryn Taf,773.3,,,,,,,
669,7000,Ysgol Heol Goffa ,0.0,,,,,,,
670,4032,Olchfa School,917.5,,,,,,,
670,4033,Morriston Comprehensive,573.5,,,,,,,
670,4044,Bishop Gore School,582.3,,,,,,,
670,4063,Gowerton Comprehensive School,618.6,,,,,,,
670,4074,Ysgol Gyfun Gwyr,766.6,,,,,,,
670,4078,Ysgol Gyfun Gymraeg Bryn Tawe,663.7,,,,,,,
670,4600,Bishop Vaughan School,612.1,,,,,,,
670,7000,Ysgol Pen-y-Bryn,1.8,,,,,,,
670,7008,Ysgol Crug Glas,0.0,,,,,,,
671,4060,Ysgol Gyfun Ystalyfera,774.2,,,,,,,
671,4601,St Joseph's RC School and 6th Form Centre,697.0,,,,,,,
671,7006,Ysgol Maes Y Coed,0.0,,,,,,,
672,1102,Portfolio PRU,*,,,,,,,
672,4059,Cynffig Comprehensive,711.6,,,,,,,
672,4068,Bryntirion Comprehensive.,732.8,,,,,,,
672,4071,Maesteg Comprehensive School,737.1,,,,,,,
672,4076,Pencoed Comprehensive,719.3,,,,,,,
672,4078,Brynteg School,660.6,,,,,,,
672,4080,Porthcawl Comprehensive School,742.1,,,,,,,
672,4085,Ysgol Gyfun Gymraeg Llangynwyd,788.4,,,,,,,
672,4086,Coleg Cymunedol Y Dderwen,683.2,,,,,,,
672,4601,Archbishop McGrath Catholic High School,807.4,,,,,,,
672,7003,Heronsbridge Special School,2.7,,,,,,,
672,7012,Ysgol Bryn Castell,80.8,,,,,,,
673,4060,Llantwit Major School,738.9,,,,,,,
673,4065,Cowbridge Comprehensive School,831.6,,,,,,,
673,4067,St Cyres Comprehensive School,810.2,,,,,,,
673,4999,Barry Sixth Form,735.4,,,,,,,
673,5400,Stanwell School,943.4,,,,,,,
673,5500,Ysgol Gymraeg Bro Morgannwg,775.3,,,,,,,
673,7024,Ysgol Y Deri,28.3,,,,,,,
674,4019,Bryncelynnog Comprehensive School,787.5,,,,,,,
674,4022,The Pontypridd High School,820.9,,,,,,,
674,4027,Hawthorn High School,739.9,,,,,,,
674,4053,Mountain Ash Comprehensive School,514.2,,,,,,,
674,4054,Ysgol Gyfun Garth Olwg,789.1,,,,,,,
674,4057,Tonyrefail School,697.6,,,,,,,
674,4081,Treorchy Comprehensive School,719.1,,,,,,,
674,4083,Ferndale Community School,714.1,,,,,,,
674,4087,Porth County Community,507.1,,,,,,,
674,4095,Tonypandy Community College,637.7,,,,,,,
674,4096,Y Pant Comprehensive,811.7,,,,,,,
674,4097,Ysgol Gyfun Cymer Rhondda,596.7,,,,,,,
674,4105,Ysgol Gyfun Rhydywaun,707.8,,,,,,,
674,4106,Aberdare Community School,649.4,,,,,,,
674,4602,Cardinal Newman R.C.,774.8,,,,,,,
